episode,reward,rolling_reward_50,epsilon,mean_loss,acceptance_rate,action_0,action_1,action_2,action_3,action_4
31,219.99515500631762,141.1218113517353,0.050141761021917496,0.0,0.4166666666666667,12,0,0,0,0
32,136.0079828032603,140.96200420959545,0.05007924318165752,0.0,0.25,11,0,0,1,0
33,176.27507774224472,142.03209734694843,0.05004346653095207,0.0,0.4166666666666667,12,0,0,0,0
34,117.89538471372104,141.32219403420646,0.05002339500292636,0.0,0.4166666666666667,11,0,1,0,0
35,0.0,137.28441706180055,0.05001235529936105,0.0,0.0,10,1,0,0,1
36,76.09434159508862,135.58469274328078,0.050006402247279806,0.0,0.16666666666666666,12,0,0,0,0
37,0.0,131.92024158805697,0.05000325497408499,0.0,0.0,12,0,0,0,0
38,148.3788819868284,132.35336370381413,0.05000162362384147,0.0,0.25,12,0,0,0,0
39,0.0,128.95968771140863,0.05000079457140428,0.0,0.0,12,0,0,0,0
40,59.9416820012798,127.23423756865543,0.05000038148446759,0.0,0.16666666666666666,11,0,1,0,0
41,113.34252239555688,126.89541524736033,0.05000017968174433,0.0,0.3333333333333333,11,0,1,0,0
42,131.52584068650245,127.00566347210182,0.050000083023477956,1.8677064657211304,0.4166666666666667,8,0,0,0,4
43,109.90771236666433,126.60803670220793,0.050000037631750996,2.238509344557921,0.25,0,0,12,0,0
44,323.29553186701315,131.0782070468626,0.05000001673212451,1.6625425219535828,0.75,2,2,6,0,2
45,81.31191891736577,129.97228953287376,0.05000000729755681,1.2277956381440163,0.25,7,0,0,0,5
46,146.53792761801543,130.33241209994208,0.05000000312190837,1.2661721855401993,0.5,5,0,4,0,3
47,129.76853983676364,130.32041481774678,0.05000000130998276,1.1387907192111015,0.3333333333333333,0,0,12,0,0
48,132.76035537485896,130.37124691268662,0.05000000053913835,0.6754125791291395,0.5,9,0,0,3,0
49,231.87675427924404,132.44278787935104,0.05000000021762585,0.44252899661660194,0.5,8,0,0,0,4
50,82.68184961864233,131.44756911413688,0.05000000008615545,0.15798653910557428,0.3333333333333333,0,0,0,0,12
51,282.00920516605936,131.37374560717865,0.05000000003345056,0.9988526577750841,0.75,2,3,1,4,2
52,204.7452861148644,132.82957439442427,0.050000000012736745,1.5868413945039113,0.5833333333333334,12,0,0,0,0
53,174.51030013833076,134.6691166020124,0.050000000004755914,1.3087149858474731,0.5833333333333334,12,0,0,0,0
54,24.487756464761162,134.36797341949924,0.05000000000174147,0.6451692432165146,0.08333333333333333,12,0,0,0,0
55,85.06385068557898,132.2311170879739,0.05000000000062531,0.7620402301351229,0.25,7,5,0,0,0
56,119.42720559712758,128.90482981177644,0.05000000000022017,0.2882142513990402,0.5,0,2,0,1,9
57,358.0208319328755,130.12058612952146,0.05000000000007601,1.3371921467284362,0.8333333333333334,1,0,5,0,6
58,171.2048600666105,132.91535536534795,0.05000000000002574,1.3028074229756992,0.5,9,0,2,1,0
59,192.1927809527072,135.2694395608606,0.050000000000008545,2.2514458497365317,0.75,1,0,10,1,0
60,242.46199872830306,137.79445849369895,0.05000000000000278,0.14376777286330858,0.6666666666666666,0,0,0,12,0
61,109.74580284133194,135.68259289404415,0.050000000000000884,1.1614188415308793,0.3333333333333333,11,0,0,1,0
62,200.20905472858914,138.01183163164137,0.05000000000000028,0.5452134025593599,0.3333333333333333,10,1,0,0,1
63,70.80040524151684,135.92226747811458,0.050000000000000086,1.3086359562973182,0.16666666666666666,0,1,5,0,6
64,237.80535911150866,136.5771016634516,0.05000000000000004,1.2906562214096386,0.6666666666666666,0,0,6,0,6
65,174.59706944151065,136.98202432587868,0.05000000000000004,1.124020379036665,0.5,0,0,5,0,7
66,94.87360707010761,137.3027102858089,0.05000000000000004,1.2778396010398865,0.3333333333333333,8,0,4,0,0
67,150.41838090483554,136.25781731501684,0.05000000000000003,1.0040878752867382,0.5833333333333334,8,0,0,4,0
68,93.66221134675752,136.19076261261978,0.05000000000000003,0.706360379854838,0.25,4,0,0,7,1
69,71.74461684033706,133.77161526527587,0.05000000000000003,0.3934668153524399,0.3333333333333333,0,1,0,11,0
70,250.45626256578302,138.15076631583304,0.05000000000000003,0.7256404037276903,0.75,0,12,0,0,0
71,149.25525863977967,137.3323128861898,0.05000000000000003,0.31124740839004517,0.3333333333333333,0,12,0,0,0
72,224.4643867156284,139.52845010686917,0.05000000000000003,0.5668229510386785,0.75,2,0,9,1,0
73,210.14873628455294,139.51680033821356,0.05000000000000003,0.31597693016131717,0.5,0,9,0,3,0
74,75.89274434264976,139.0047987677993,0.05000000000000003,0.5545066812386116,0.16666666666666666,2,8,0,2,0
75,156.54652381052614,140.27291001716176,0.05000000000000003,2.0022723972797394,0.3333333333333333,8,1,3,0,0
76,355.51507488731835,147.3832115149081,0.05000000000000003,1.4318135778109233,0.5833333333333334,7,0,5,0,0
77,0.0,141.92549356073857,0.05000000000000003,1.4592567682266235,0.0,6,0,6,0,0
78,156.14477022645568,144.3563738970571,0.05000000000000003,1.2864577621221542,0.6666666666666666,12,0,0,0,0
79,143.87111669316096,145.39157480949035,0.05000000000000003,0.9406076744198799,0.25,10,0,2,0,0
80,55.56272106445216,145.06871274826776,0.05000000000000003,0.7790214742223421,0.25,12,0,0,0,0
81,291.1935482166115,146.49268061247366,0.05000000000000003,2.076197703679403,0.6666666666666666,1,8,2,1,0
82,185.4820587576889,147.4821621315622,0.05000000000000003,1.2866812000672023,0.5833333333333334,1,11,0,0,0
83,141.93394246241124,146.79533942596555,0.05000000000000003,0.9265589167674383,0.4166666666666667,0,12,0,0,0
84,151.46189829428215,147.46666969757678,0.050000000000000024,0.46606675287087757,0.25,0,12,0,0,0
85,139.47423998225918,150.25615449722193,0.050000000000000024,0.1364346641736726,0.3333333333333333,5,7,0,0,0
86,63.40765064185258,150.00242067815722,0.050000000000000024,0.05974054615944624,0.5,12,0,0,0,0
87,122.09226266403729,152.444265931438,0.050000000000000024,0.04680374932164947,0.25,5,6,0,1,0
88,257.20413046836217,154.62077090106865,0.050000000000000024,0.1745594466725985,0.5,0,12,0,0,0
89,291.6433286050651,160.45363747316998,0.050000000000000024,0.22072839736938477,0.9166666666666666,1,1,2,8,0
90,98.00733573080721,161.2149505477605,0.050000000000000024,0.03674215326706568,0.3333333333333333,11,0,0,0,1
91,220.28682752687476,163.35383665038688,0.050000000000000024,0.024099922894189756,0.5833333333333334,5,7,0,0,0
92,289.48907485821934,166.51310133382123,0.050000000000000024,0.02057970385067165,1.0,12,0,0,0,0
93,170.1684794534759,167.71831667555745,0.050000000000000024,0.09963239325831334,0.4166666666666667,0,12,0,0,0
94,77.30086164503612,162.79842327111788,0.050000000000000024,0.23173824635644755,0.3333333333333333,1,0,8,3,0
95,77.23065375105408,162.71679796779165,0.050000000000000024,0.07776220608502626,0.25,0,12,0,0,0
96,156.77771713377174,162.92159375810678,0.050000000000000024,0.020073100924491882,0.3333333333333333,0,12,0,0,0
97,87.46361255417125,162.0754952124549,0.050000000000000024,0.026220497209578753,0.16666666666666666,0,12,0,0,0
98,154.3604328781485,162.50749676252073,0.050000000000000024,0.0807658984946708,0.3333333333333333,0,12,0,0,0
99,231.9668409812116,162.50929849656006,0.050000000000000024,0.3952877086897691,0.75,0,2,0,10,0
100,328.69644728550094,167.42959044989726,0.050000000000000024,0.20184706524014473,0.8333333333333334,0,0,0,12,0
101,256.05815234245665,166.91056939342516,0.050000000000000024,0.3390269524728258,0.6666666666666666,0,4,0,8,0
102,430.4627652067592,171.4249189752631,0.050000000000000024,0.2500921608880162,0.5833333333333334,1,11,0,0,0
103,246.98899976100634,172.87449296771658,0.050000000000000024,0.04186516751845678,0.5,0,12,0,0,0
104,238.24346304032503,177.14960709922786,0.050000000000000024,0.40251599873105687,0.5833333333333334,0,8,3,1,0
105,201.13141619335255,179.47095840938334,0.050000000000000024,0.25398834732671577,0.5833333333333334,0,0,12,0,0
106,111.74121342089481,179.3172385658587,0.050000000000000024,0.24003144105275473,0.5,0,6,3,3,0
107,193.56693564278166,176.02816064005685,0.050000000000000024,0.033608872132996716,0.3333333333333333,0,12,0,0,0
108,119.16233103520497,174.98731005942872,0.050000000000000024,0.13705921980241934,0.5,0,5,0,7,0
109,384.7855316156122,178.8391650726868,0.050000000000000024,0.5050472468137741,0.8333333333333334,0,7,0,5,0
110,192.51158073048273,177.84015671273042,0.050000000000000024,0.3230275698006153,0.75,0,0,0,12,0
111,162.74821340066416,178.90020492391704,0.050000000000000024,0.17088236566632986,0.5,0,0,1,2,9
112,192.8319694393697,178.75266321813268,0.05000000000000002,0.4857029722382625,0.5833333333333334,0,7,5,0,0
113,127.15580786429108,179.87977127058812,0.05000000000000002,0.12263051141053438,0.4166666666666667,0,12,0,0,0
114,114.75433696938413,177.41875082774564,0.05000000000000002,0.15458219250043234,0.4166666666666667,1,6,0,5,0
115,209.97807993963517,178.12637103770817,0.05000000000000002,0.3373099975287914,0.6666666666666666,1,1,0,10,0
116,92.03957295038677,178.06969035531372,0.05000000000000002,0.07667877276738484,0.5833333333333334,0,0,1,11,0
117,119.26673585847709,177.44665745438655,0.05000000000000002,0.046062530328830086,0.4166666666666667,0,12,0,0,0
118,151.97035612741146,178.6128203499996,0.05000000000000002,0.07477270035694043,0.4166666666666667,0,12,0,0,0
119,67.5,178.52792801319288,0.05000000000000002,0.08284831916292508,0.75,0,0,0,11,1
120,237.19960648087238,178.26279489149468,0.05000000000000002,0.08673165179789066,0.5833333333333334,0,12,0,0,0
121,84.9858710759677,176.97740714021842,0.05000000000000002,0.1144505466024081,0.5,0,0,0,12,0
122,73.00788770513155,173.94827716000847,0.05000000000000002,0.16492945328354836,0.16666666666666666,0,12,0,0,0
123,33.625199537678895,170.417806425071,0.05000000000000002,0.1846337839961052,0.08333333333333333,0,12,0,0,0
124,106.44513941841237,171.0288543265863,0.05000000000000002,0.13313387458523115,0.25,0,12,0,0,0
125,97.75147226017317,169.85295329557925,0.05000000000000002,0.11126570838193099,0.25,0,11,0,0,1
126,71.72711813909655,164.1771941606148,0.05000000000000002,0.07441387341047327,0.16666666666666666,0,12,0,0,0
127,21.006477998189673,164.59732372057857,0.05000000000000002,0.023182494565844536,0.08333333333333333,12,0,0,0,0
128,259.7892238754432,166.6702127935583,0.05000000000000002,0.062343369548519455,0.5,1,11,0,0,0
129,181.90584773949365,167.43090741448498,0.05000000000000002,0.10017992726837595,0.4166666666666667,0,12,0,0,0
130,93.7891655091094,168.19543630337813,0.05000000000000002,0.03324536055636903,0.25,0,11,0,1,0
131,113.05510644372842,164.63266746792044,0.05000000000000002,0.10134642260770003,0.4166666666666667,2,0,3,7,0
132,109.72103479822326,163.11744698873116,0.05000000000000002,0.03799138218164444,0.5,11,0,0,1,0
